[19:47:05] [main/INFO] [cpw.mods.modlauncher.Launcher]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 45.2.0, --fml.mcVersion, 1.19.4, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230314.122934]
[19:47:05] [main/INFO] [cpw.mods.modlauncher.Launcher]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.9 by Oracle Corporation; OS Windows 10 arch amd64 version 10.0
[19:47:05] [main/INFO] [mixin]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/scrap/Desktop/IceBlueFPS%20Mod/server/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2392!/ Service=ModLauncher Env=SERVER
[19:47:05] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig]: Configuration file C:\Users\scrap\Desktop\IceBlueFPS Mod\server\config\fml.toml is not correct. Correcting
[19:47:06] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator]: No dependencies to load found. Skipping!
[19:47:09] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler]: Launching target 'forgeserver' with arguments []
[19:47:24] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod]: Forge mod loading, version 45.2.0, for MC 1.19.4 with MCP 20230314.122934
[19:47:24] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge]: MinecraftForge v45.2.0 Initialized
[19:47:24] [modloading-worker-0/INFO] [com.mohistmc.MohistMC]: Mohist loading.....
[19:47:25] [modloading-worker-0/INFO] [com.mohistmc.MohistMC]: EventDispatcherRegistry initialized
[19:47:25] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Configuration file C:\Users\scrap\Desktop\IceBlueFPS Mod\server\config\forge-common.toml is not correct. Correcting
[19:47:25] [Forge Version Check/INFO] [net.minecraftforge.fml.VersionChecker]: Global Forge version check system disabled, no further processing.
[19:47:28] [main/ERROR] [net.minecraft.server.dedicated.Settings]: Failed to load properties from file: server.properties
[19:47:28] [main/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:47:31] [main/INFO] [net.minecraft.world.item.crafting.RecipeManager]: Loaded 7 recipes
[19:47:31] [main/INFO] [net.minecraft.advancements.AdvancementList]: Loaded 1179 advancements
[19:47:34] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Starting minecraft server version 1.19.4
[19:47:34] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Loading properties
[19:47:34] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Default game type: SURVIVAL
[19:47:34] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Generating keypair
[19:47:34] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Starting Minecraft server on *:25565
[19:47:34] [Server thread/INFO] [net.minecraft.server.network.ServerConnectionListener]: Using default channel type
[19:47:35] [Server thread/INFO] [Minecraft]: This server is running Mohist version 1.19.4-189 (MC: 1.19.4) (Implementing API version 1.19.4-R0.1-SNAPSHOT, Forge version 45.2.0)
[19:47:35] [Server thread/INFO] [Minecraft]: Debug logging is enabled
[19:47:35] [Server thread/INFO] []: Server Ping Player Sample Count: 12
[19:47:35] [Server thread/INFO] [Minecraft]: Using 4 threads for Netty based IO
[19:47:35] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Configuration file .\world\serverconfig\forge-server.toml is not correct. Correcting
[19:47:35] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Preparing level "world"
[19:47:52] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Preparing start region for dimension minecraft:overworld
[19:47:55] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:55] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:55] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:55] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:55] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:55] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:55] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:56] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:56] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:57] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:57] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:47:58] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:48:00] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:48:00] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:48:00] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:48:00] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:48:00] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:48:01] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[19:48:01] [Worker-Main-3/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 1%
[19:48:02] [Worker-Main-6/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 2%
[19:48:02] [Worker-Main-3/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 3%
[19:48:03] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 3%
[19:48:03] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 4%
[19:48:04] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 5%
[19:48:04] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 6%
[19:48:05] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 7%
[19:48:05] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 7%
[19:48:06] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 9%
